Name,ID,Ratings,Windows,Web,Mac,Linux
Press SPACE,696768,37,True,False,False,False
100% Control,697338,8,True,False,True,True
Saboteur Stocks,698140,9,True,False,False,False
ControlUnit,697351,8,True,False,False,False
Suicide Switch,695692,31,False,True,False,False
Tiles,693251,33,False,False,False,False
Beyond Control,700172,12,True,False,False,False
Can't catch me!,696910,50,False,True,False,False
"Go Little Cube, Go",698553,23,True,False,False,False
Goobers - GMTK2020 Jam game,696449,15,False,False,False,False
Robo-Jam,698240,11,True,False,False,False
KAVOUT,698419,10,True,False,False,False
Balloon Fishing,698759,16,False,True,False,False
Key Hit,693459,62,True,True,False,False
Totally Legit Meap Packing Co.,698936,8,True,False,False,False
The Flood,699661,21,True,True,False,False
Digi Drive,698529,10,True,False,False,False
JumBean's Great Escape,697358,40,True,True,False,False
Deck of 2020,697622,9,True,False,False,False
Squiggly: Unleashed,696038,14,True,False,True,False
Help I dropped my laptop and my steam library got mixed what do I do,696491,59,False,True,False,False
Trim the sheeps !,696115,22,True,False,False,False
Break it through,697485,15,True,False,False,False
Who Let The Drones Out!?,696607,14,False,False,False,False
Aléatoire,697947,31,True,False,False,False
Crazy Keys,698232,9,False,False,False,False
Fiery Forest Frenzy,698230,23,False,True,False,False
Sunday Self-Driver,695191,13,True,False,False,False
Trigger Happy,696554,9,True,False,False,False
ForestChest,699455,10,False,False,False,False
Impossible Rally,697493,10,True,False,False,False
Deceptio,694635,21,True,True,False,False
How Did THAT Happen?,698930,8,False,False,False,False
Drop Dem Marbs (GMTK2020),699339,37,False,True,False,False
Crowd Outta Control,692932,28,True,True,False,False
President Trump,696770,40,True,False,False,False
Control,699347,8,True,False,False,False
Asleep at the Wheel,699416,14,False,False,False,False
Cat Dream,697545,18,False,True,False,False
Carcinisation,700359,11,True,False,False,False
Dungeons and Chatlogs,699154,20,True,False,False,False
"Hero of Legend, Inc._GMTK",696670,11,True,False,False,False
insane!,695682,61,False,True,False,False
Mount FAUNIR,694666,30,True,True,False,False
Jumpstart Clinic - GMTK GameJam 2020,696074,10,True,False,False,False
QuakeRun,700057,8,False,False,False,False
Gravity Control,697155,21,True,False,False,False
Out of Coffee,699027,28,True,True,True,False
sentience.exe,700875,25,False,True,False,False
Misplaced,699643,17,False,True,False,False
StrayRays,696203,20,False,True,False,False
Restless Agents,699178,21,True,False,False,False
Symptoms,698176,11,True,False,False,False
Subsurface,695545,21,False,True,False,False
Out Of Hand,694521,24,False,True,False,False
OverShopped,698058,11,False,False,False,False
ControlFreak,698127,19,False,True,False,False
Deskontrol,693408,10,True,False,False,False
GMTK2020 - BOUNCESTRONAUT,700044,11,True,False,False,False
The Bus That Couldn't Slow Down,696319,28,False,True,False,False
Little out of the planet,695930,16,True,True,True,True
The Sheepening,699330,10,True,False,False,False
K0SM0:GU1DE,699740,10,False,False,False,False
Spleef Xtreme,695590,10,True,False,False,False
Broken Tank Simulator,698097,135,False,True,False,False
Jumps Per Minute,694851,13,True,False,False,False
Haywire Flyer,695363,21,False,True,False,False
"Sorry Sir, I'm out of controls",695359,26,True,False,False,False
The Drunk Sniper,698927,10,False,False,False,False
Wisp,616957,24,False,True,False,False
Don't let light scape,699885,21,False,True,False,False
Don't Eat Those Cookies!,699258,13,True,False,True,True
Out Of Control,696517,26,True,True,False,False
Senescence,699389,10,True,False,False,False
outofcontrol,694436,9,False,False,False,False
Defective Chaos,694131,21,False,True,False,False
Ur In Trouble,693980,55,True,False,False,False
UNCONTROL,699547,8,False,False,False,False
Bumping Bumpy Bumper Boats,696769,21,True,False,False,False
Control Plus ZEE,695991,9,True,False,False,False
Mouseoleum,700381,14,True,False,False,False
Weapon[Index],697719,119,True,True,False,False
Soul Purpose,697476,8,True,False,False,False
MeltdownPanic,699681,8,True,False,False,False
Meltdown: Out of Control,699352,21,False,True,False,False
Weapon Rampage,699947,13,True,False,False,False
Need your help m8,695709,9,False,False,False,False
Tune,695274,9,False,False,False,False
Steering Not Included - GMTK2020,695464,13,True,False,False,False
VirFrame,697915,9,True,False,False,False
Space Cowboy,694959,17,True,False,True,True
OBJECTIVE: Land The Plane,696435,8,True,False,False,False
Kevin Hates Chiptune,696405,10,True,False,False,False
The Monster,695145,10,False,False,False,False
Troll Ball,699028,12,True,False,False,False
Black Out,698286,9,True,False,False,False
Your life is a mess: Let it be so,695214,26,False,True,False,False
Tophet,698932,37,False,True,False,False
Fireforce,699158,8,True,False,False,False
Swords need not apply,695198,16,True,False,False,False
Gun Control,699535,39,False,True,False,False
Final Command,694921,31,False,True,False,False
Farmageddon,697422,46,True,False,True,False
Duck Tank's Bad Beak Day,696041,27,False,True,False,False
Chessful,697318,11,True,False,False,False
out of controls,693189,40,False,True,False,False
Doggernaut,694946,49,False,True,False,False
Thermal Runway,699486,30,False,True,False,False
Finder for GMTK 2020,695407,11,True,False,False,False
Overgrowth,699569,14,True,False,False,False
RC robot,695554,31,False,True,False,False
Out of Ctrl,698187,33,False,True,False,False
Marble Rain,699481,8,False,False,False,False
Restrained,693758,10,False,False,False,False
This Game Is Not Broken,700168,19,True,False,False,False
Ray Cathode,696656,9,True,False,True,True
Khastrate 3500,698123,8,True,False,False,False
Sora needs control,699534,7,False,False,False,False
Control of the Crypt,696915,13,False,False,False,False
Wacky Bunny,693123,19,True,False,False,False
I'm Not A Robot,695933,40,True,True,True,True
Out of Controls!,699628,8,False,False,False,False
BunnyShroom,696968,8,True,False,False,False
Out Of Controls,699317,42,False,True,False,False
Fartocalypse,699834,8,True,False,False,False
Monologue's Reflection,698480,8,True,False,False,False
Out of Key,696209,21,True,True,True,True
Gravity Scramble,698600,38,True,True,True,True
Living Labyrinth,697615,60,False,True,False,False
Control Not Included,698088,21,True,False,False,False
137 Sheep,695820,9,True,False,False,False
BARBEERIAN,695118,22,True,False,False,False
GMTK Game Jam 2020 Entry - Dungeon in Absolute Abyss,694987,21,False,True,False,False
Revenge of the Blobs,694232,35,False,True,False,False
R Out Of Ctrl,698257,7,False,False,False,False
jalopy,697602,11,True,False,False,False
Fury Road,695624,11,True,False,False,False
Out of Reach,695170,56,True,False,False,False
Crew of one,700370,12,True,False,False,False
Binary Towers,693696,11,True,False,False,False
Balance the Budget,696974,67,False,True,False,False
Sourcerer,698111,11,True,False,False,False
Servicing Flux Capacitors,694923,12,False,False,False,False
SynchronousStrategyGame,696939,12,False,True,False,False
ShipWrecked,700367,12,True,False,False,False
The Last Dance,699881,14,True,False,False,False
