Name,ID,Ratings
Robo Rush,699945,3
IbeganToLoseCTRL,695966,17
Spinshot,694498,10
Control OutOfControl,699564,3
SpiderAttack,698398,6
Brakes?,700063,16
Oh My Guts!,694447,13
Suvivor: Priority 1,696334,6
Driveby,699870,12
Nut&amp;Go,693058,7
Anger Management is Harder to Control in a Dungeon,699611,8
Operation FUBAR,697317,11
bird momma,699904,3
The Pandora Key,696959,4
Pneumokon,693966,15
GAF -GMTK2020,700076,4
Your Mind,700305,3
Ticker,697133,9
LIFO,696145,10
Rich simulator,693016,39
Wild Ball,696118,4
KeyBound,697573,4
The Worst Party: A Healers Tale,701126,15
just a failed Tetris clone,699782,3
Hack Fury,695446,10
Curse of the Cursor,696000,21
Control Is An Illusion,694404,12
Under Controlled,696468,8
Slidey Slime,698388,4
Uncontrolled Physics,697480,11
Your life is a mess: Let it be so,695214,17
Rocket Revolution,698893,6
Pooches Outa Control,698949,10
Buoy Trouble,698472,8
Invasion,660234,6
Pub Dash,695748,29
INVEDADER,697441,13
Shituation Out of Control,694963,29
Unruly Polygons (Jam Game),693035,21
Anti-Hero,698251,32
Kebab,699519,4
"Hero of Legend, Inc._GMTK",696670,5
Wrong Way Robot,697087,10
Chaos Cavern,698542,8
Mismatch!,697388,5
Twilight Pig-Zas,698702,9
Ba La Ba La Man,695753,15
the floor will be lava,696741,39
Skulls Unfortunate Adventure,693494,23
Coffee Craze,700628,8
BEAT BAR,695568,9
Dummy Dungeons,695180,26
Fire Out!,697075,9
Windsor Village,700297,5
Catdemonium,699402,4
Shrinky Spheres 'n' Big Balls,694042,9
Button-Box,697178,13
OUT OF CONTROL Pizza Delivery,700230,12
"You are cursed, Mr.Mayor !",695724,14
Teacher Simulator,698328,17
Time Flies... and other Bugs,700053,23
Aurore and the crystal shard - GMTK 2020,692994,68
Fire Emergency,697013,5
Manual Revolution,700064,6
Ferret Highway,696018,5
Bark Mrown's Moderator,693279,26
Keeping Control,695068,5
Sneaky Robots,696873,8
Truck and Roll,694675,8
In Spaaace!,698272,8
BlindFire,697203,12
RoboTank and the Dangers of Playing with Electricity,694917,6
Key Down,696943,20
Poorly Keys,697305,55
Sleeping Bag,693583,22
Let Gooo,698317,12
Uncontained,698292,7
Wheres The Remote,699391,3
Curupira,694609,5
Sproinger,693748,41
Stack Bandits,700659,12
Push_it,698922,3
One Last Game,694877,152
Control is the Key,695264,6
GMTK 2020 - Spiral,695689,9
out of cont-ROLL,698324,16
Key Hit,693459,39
Out Of CTRL,696848,6
The Network Protector,698455,10
Inefficent Deliveryman,693960,30
Heat Check,696335,13
Instacktable,696767,8
Keep the CTRL,696354,24
Hit And Gun,695871,12
"Captain, The Rudder's Shot!",695793,17
Tick Tick BOOM!,696745,5
S.Warm,694931,15
Back To Square One,699329,6
All of Control - GMTK 2020,700776,6
Box Circle Thunder,699872,5
Jagmallauth,696051,6
Nuclear Children,695197,7
Out of Earshot,700222,7
Warden of Control,695897,6
Pizza Cuisine,699973,4
Five Night At Beney,698975,7
Tremmlings,695612,7
Hose Your Daddy,700260,14
Out of Control,695238,13
One Man Crew,700843,12
SLOT,695327,4
SNAGU,698997,13
RaveStuck,695883,6
Broken Keyboard,695266,7
Frog vs Flies,698533,31
Structurally Sound,695419,10
Boss one,699883,10
JUMP!,695679,13
Auto-Knight,700559,6
Totally normal game,695470,4
Experimental Putting Terminal,697502,7
Monster,699828,5
Deli-very-Fast,697390,6
Off the Rails,698929,6
Magic Mirror,699984,4
Who Let The Drones Out!?,696607,8
Hooked Up,699380,23
Zombherd,695337,21
Astral,699187,8
Remote Worker,700372,7
L I D,697204,13
GET OUT OF CONTROL,694925,4
Waves of Venom,698156,4
Braham,700015,7
The Dev Can't Beat This,694900,22
—,698078,8
Jeff's Dog,696400,7
Burning Air Balloon,698939,34
The_Cube_Test,696682,14
GMTK2020 - Focus,693810,9
The Chaos Stick,696094,5
Programmer's Odyssey,697368,9
A Lesson In Frustration,698552,4
Space Junk,695149,14
Centripetal Chaos,695847,39
Moth Loves Lamp,700898,19
The city is out of control,695604,4
Symptoms,698176,8
A Quiet Drive,694970,8
The World Order,698687,16
Pacemecha,700437,4
Crowd control,696589,14
Reckless Racer,698171,19
Doktor Vakuum,693981,12
Ctrl Control,695090,6
Zeus' Out of Control Adventure,700175,5
Out of control,700798,6
Oblivious Cartographer,696853,12
Demoniac,698121,5
Power surge,696423,8
Item Juggler,697242,4
Cloud Dragon,697095,17
MALWARE DETECTED,699076,5
WatchOut,700202,7
Hair Nightmare,694561,11
how to chicken your train,694497,10
Hands On Pete,700757,24
Ball,694979,15
Space Control,699390,4
Control Panic,699552,7
Can't Stop Won't Stop,695279,3
Narcolepsy,695038,72
Gamma Ray Meltdown,695298,7
Dr Q. Orantine and the uncontrollable citizens,697772,4
Pyroette,695680,10
Skylight Update,696367,17
Out of Body,700003,6
Running Out of Control,698681,8
Unhoarding,693314,20
KEYHOARD JOTTEL,699095,10
The Orb,697184,4
Plague Doctor,695263,5
Violent Volley,699006,13
Trelic,694294,5
The Keep of Moving Forward,697567,15
Mind Hack,700106,6
The Unwilling Adventurer,698606,7
Secretary Simulator (for GMTK Game Jam 2020),697442,4
Keyboard Jammer,700655,3
Ex Umbris.,693989,22
Jamzone,693163,16
Ad-Hoc.tv,699280,5
Outgun online,696530,20
Rhino Rhodeo,697314,5
See Where You Land,695547,4
Button Mashers,694630,19
Airborn Artistic II - A Second Take,696890,30
Orbital Grid,699899,19
Star Golf,700689,7
Ctrl + States,692998,10
Delivery-BOT,697387,6
A Strange Case,700227,14
Bunny in a Volcano,696342,12
Group Project (GMTK Jam 2020),694800,17
Keypad Out of Control,699833,20
Space Controller,693102,23
ConTroller,695641,4
Ork of Control,699781,5
Archaos,694268,8
MonsterMind,695088,7
Turning Defiant (Online),698967,4
Take Back the Controls!,694926,17
Uncontrollable,698284,13
CarNG,696046,13
Luck Decides,700144,7
out of controls,693189,24
AI Tanks,694812,7
Night Fishing,697894,5
Scramble Dungeon!,698921,5
The Astronaut,697557,20
Pedal to the Metal!,700400,6
[UN]stable Turret,696063,5
Shrekretary,696536,18
SoloSS,695965,9
I heard a rumor,696478,25
Knight of the slime ranch,697451,8
If I could,697740,4
Brian,698065,5
GrandNyational,697135,6
Stubborn Mages,694873,8
No Control,696081,10
No Kontrol!,700050,4
Push the Button,694732,30
Time is out of control,698813,8
Apocalyptico,694264,17
Entropy,698604,5
Plaught Armor,694285,11
Paint Racing,698010,11
Garden Bot,698634,6
TicTacToX,697786,4
Magical Mayhem,698094,15
Temple Gun,694711,18
Out of ctrl,698973,4
ANXI,696147,4
The Funky Man,699061,7
A Drunk Battle,697983,24
LaserAngle,694154,8
Fire Keeper,694009,105
Mission Control,694739,9
Ghost Game,697669,7
Left Right Cool Crap,699111,16
(Out of) Control Center,699231,8
Disaster Island,696120,11
Sweet Tooth,697873,6
Hero's Journey,700889,3
Get Out,698501,8
Very poorly designed ship,700185,22
Shifter,696903,19
Finding sequence,699745,14
Out of Shape,693531,17
Layoff,700620,11
CTRL_,698341,4
Gun Control,694974,4
Take the Reins,699286,17
Briky: Riot Profiteering Simulation,695283,9
Disposable Trigger,697346,4
Falling Sky: Reckoning,699192,8
Drifters Don't Break,695581,7
You can´t pause a Space Shooter,697504,9
Co-Com (GMTK '20),694668,8
Surpress The Revolution,696386,7
zone,695388,29
Crane Moose,700593,8
Out of earth,696986,17
Quack Attuack,694665,8
One Control,699934,7
Control of the Crypt,696915,9
c0ntr0l,699443,14
Cassie's Thanksgiving,700312,6
Wild West DuelWare,696455,5
Pro Gamer Moves,698261,6
Procyon V,697250,10
Inferno,696298,7
Bibliocalypse,700173,3
You'd better run,693199,40
Spirits Possess You,698497,12
Key Control,696699,80
Riftshock,697293,7
"Me, My Robot, &amp; I",695024,16
Command,695285,15
Rocket Ape,694289,5
The Cooky Capers of a Cranky Clown Capitalist,694621,16
Blood Paladin,699120,6
The Uncontrollable,698780,5
Out Of Control,697700,5
Without A Paddle,696899,13
Sheep's Best Friend,697943,12
Blind Planet,695127,11
Cat Dream,697545,7
Get Out of Control! (literally...),697658,7
Death of the Party,694863,17
O.O.C Disco Party,697082,5
Jack or Wolf?,696651,6
Audo,693193,11
Fill The Mesh,696358,17
The Office Party,695430,8
Speclucky,694651,9
Uncontrolled Teleportation,697554,4
Crazy Murder Robot (Unfinished Prototype),699772,6
No Mis-steaks,697515,4
Random Apple,700088,6
King-Aru,695215,14
Drowsy Dragon,697337,14
Cheerful Recoil,694872,20
Sailtrail,699724,3
Cat's Rule,694720,10
Slippery Slime,694055,6
Spacewalk,700304,4
Lazy River,695436,10
Central Happiness Committee,695126,4
orphan bus,698028,7
Snowless Road,695778,5
Unruly Beams,695202,23
KeyCode.WTF,696173,17
Loong,697988,12
Dr. Orderly,697997,12
Messy Jessie,700130,100
No Control,696690,5
Sure Thing,693919,8
Loss of Control,699492,3
Roulette City,696933,14
Wormhole,694908,20
The Cat &amp; The Pig,693862,23
Out Of My Mind,698072,16
TimeWastApp,698623,11
